Country,q#3,q#4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14,q#15,q#16,population,median_age,# of people aged 65 older,# of people aged 70 older,economic performance,death rates due to heart disease,diabetes prevalence,#of female smokers,#of male smokers,handwashing facilities,hospital beds per thousand people,life expectancy,human development index
Benin,7611.0,95.0,0.82,1.14,0.9540697674418596,0.007146353985159249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12123198.0,18.8,3.244,1.942,2064.236,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25781.0,19980.0,45761.0,62273.0,0.0,0.0,0.0,50669.315,139.547,13.0,0.0,0.0,0.0,0.0,82.59,0.0
Bhutan,941.0,1.0,0.25,1.4,0.7667307692307693,0.07068561887866907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15058.0,1630.4297520661157,4807400.597814474,658583.0,0.001,0.012,0.0021618798955613592,5.390778761547106e-06,83.6,18720.3,2146.5778097982707,15562765.93160488,478219.0,0.0,478219.0,771612.0,28.6,4.885,2.977,8708.597,217.066,9.75,0.0,0.0,79.807,1.7,71.78,0.654
Bolivia,287360.0,12625.0,0.7,1.59,1.0888976377952764,0.06062452285318559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13347.0,2677.4164383561642,5643353.9067971865,1018003.0,0.06,0.636,0.2925575447570335,0.02539455660749507,1.6,16.8,4.829156010230184,8.919813017751478,333137.0,153217.0,486354.0,11673029.0,25.4,6.704,4.393,6885.829,204.299,6.89,0.0,0.0,25.383,1.1,71.51,0.718
Bosnia and Herzegovina,188994.0,7788.0,0.84,1.6,1.1331538461538457,0.04180381044270128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75493.0,16699.0,2143.5347985347985,25064701.478143923,858968.0,0.011,0.742,0.17669811320754722,0.013268896165084003,1.3,87.4,11.920754716981136,233.00524791818847,0.0,0.0,15000.0,3280815.0,42.5,16.569,10.711,11713.895,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
Botswana,44075.0,671.0,0.81,1.34,1.047525773195876,0.027166636147443524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31628.0,0.0,31628.0,2351625.0,25.8,3.941,2.242,15807.374,237.372,4.81,5.7,34.4,0.0,1.8,69.59,0.735
Brazil,13832455.0,368749.0,0.9,2.7,1.1671428571428573,0.10668667773541074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6421441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24809790.0,8000733.0,32810523.0,212559409.0,33.5,8.552,5.06,14103.452,177.961,8.11,10.1,17.9,0.0,2.2,75.88,0.765
Brunei,221.0,3.0,0.01,0.91,0.20829896907216483,0.09080975902890451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2323.0,0.0,2323.0,437483.0,32.4,4.591,2.382,71809.251,201.285,12.79,2.0,30.9,0.0,2.7,75.86,0.838
Bulgaria,384887.0,15100.0,0.61,1.79,1.1103316326530612,0.06323086322041327,8.0,813.0,218.26344086021504,51126.56292819726,132.0,10649.0,2786.5833333333335,8259689.012663378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,20611.0,6435.776632302405,22173116.161105826,2333971.0,0.012,0.406,0.1252939560439561,0.012916924860930875,2.5,85.0,17.55604395604396,227.28020095773667,507245.0,126884.0,634129.0,6948445.0,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,0.0,7.454,75.05,0.816
Burkina Faso,13083.0,154.0,0.7,1.48,1.0076804123711336,0.02640792954483238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20903278.0,17.6,2.409,1.358,1703.102,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
